wordStem,wordFunction,value,pos
aal,VAL,-0.1667,NOUN
aas,VAL,-0.7,NOUN
abart,VAL,-0.5333,NOUN
abbau,VAL,-0.3333,NOUN
abbauen,VAL,-0.2667,VERB
abbild,VAL,-0.0667,NOUN
abbruch,VAL,-0.2333,NOUN
abdanken,VAL,-0.1333,VERB
abdruck,VAL,-0.0333,NOUN
abend,VAL,0.55,NOUN
abendrot,VAL,0.8,NOUN
abends,VAL,0.3333,ADJ
abfahrt,VAL,0.1,NOUN
abfall,VAL,-0.5667,NOUN
abflug,VAL,0.2333,NOUN
abfuhr,VAL,-0.45,NOUN
abgang,VAL,-0.3167,NOUN
abgas,VAL,-0.6833,NOUN
abgeben,VAL,-0.0098,VERB
abgrund,VAL,-0.4667,NOUN
abhang,VAL,-0.1667,NOUN
abhauen,VAL,-0.3,VERB
abhilfe,VAL,0.2667,NOUN
abitur,VAL,0.2667,NOUN
abkehr,VAL,-0.2,NOUN
ablauf,VAL,0.0,NOUN
ableger,VAL,0.0333,NOUN
ablehnen,VAL,-0.3137,VERB
abmagern,VAL,-0.4,VERB
abort,VAL,-0.3,NOUN
abreise,VAL,-0.1,NOUN
absage,VAL,-0.6667,NOUN
absatz,VAL,-0.0294,NOUN
abscheu,VAL,-0.7,NOUN
abschied,VAL,-0.7,NOUN
abseits,VAL,-0.3667,ADJ
absender,VAL,0.0,NOUN
absicht,VAL,0.2,NOUN
abstand,VAL,-0.1176,NOUN
abstieg,VAL,-0.4667,NOUN
absturz,VAL,-0.6667,NOUN
absurd,VAL,-0.3333,ADJ
abt,VAL,0.0667,NOUN
abtei,VAL,0.0,NOUN
abteil,VAL,-0.05,NOUN
abwasser,VAL,-0.4,NOUN
abweg,VAL,-0.3167,NOUN
abwehr,VAL,-0.2333,NOUN
abwurf,VAL,-0.1,NOUN
abzug,VAL,-0.1667,NOUN
achse,VAL,0.0,NOUN
achsel,VAL,-0.15,NOUN
achten,VAL,0.4,VERB
achtung,VAL,0.2,NOUN
adel,VAL,-0.1,NOUN
adeln,VAL,0.1333,VERB
adjutant,VAL,-0.1,NOUN
adler,VAL,0.4167,NOUN
adoption,VAL,0.0,NOUN
adressat,VAL,0.0333,NOUN
adria,VAL,0.4667,NOUN
advent,VAL,0.35,NOUN
affe,VAL,0.3333,NOUN
affekt,VAL,0.0,NOUN
agent,VAL,0.15,NOUN
aggression,VAL,-0.5882,NOUN
agil,VAL,0.3333,ADJ
ahnen,VAL,0.098,VERB
ahnung,VAL,0.2333,NOUN
ahorn,VAL,0.4333,NOUN
akademie,VAL,0.1961,NOUN
akribie,VAL,-0.2333,NOUN
aktie,VAL,0.2,NOUN
aktion,VAL,0.3333,NOUN
aktiv,VAL,0.5333,ADJ
aktivität,VAL,0.5686,NOUN
akzent,VAL,0.0,NOUN
alarm,VAL,-0.4667,NOUN
albern,VAL,-0.0667,ADJ
album,VAL,0.2667,NOUN
alkohol,VAL,-0.0333,NOUN
allee,VAL,0.4,NOUN
allein,VAL,-0.6,ADJ
alltag,VAL,-0.0333,NOUN
almosen,VAL,-0.2667,NOUN
alpdruck,VAL,-0.6333,NOUN
alptraum,VAL,-0.9333,NOUN
altar,VAL,0.1,NOUN
altbau,VAL,0.2333,NOUN
alter,VAL,-0.1833,NOUN
altklug,VAL,-0.3667,ADJ
amateur,VAL,-0.1,NOUN
amboß,VAL,-0.1067,NOUN
amerika,VAL,0.1333,NOUN
ami,VAL,-0.1333,NOUN
ampel,VAL,-0.2333,NOUN
ampulle,VAL,-0.2433,NOUN
amsel,VAL,0.3833,NOUN
amt,VAL,-0.2333,NOUN
amulett,VAL,0.3,NOUN
anbahnen,VAL,0.0667,VERB
anbau,VAL,0.2833,NOUN
anbieten,VAL,0.2255,VERB
änderung,VAL,0.1176,NOUN
anekdote,VAL,0.2667,NOUN
anekeln,VAL,-0.7,VERB
anerkennen,VAL,0.5294,VERB
anfall,VAL,-0.5667,NOUN
anfallen,VAL,-0.3,VERB
anfang,VAL,0.2667,NOUN
anflug,VAL,0.1667,NOUN
angeben,VAL,-0.4608,VERB
angebot,VAL,0.3235,NOUN
angehen,VAL,0.2353,VERB
angeklagte,VAL,-0.549,NOUN
angel,VAL,-0.05,NOUN
angeregt,VAL,0.4333,ADJ
angler,VAL,-0.0667,NOUN
angriff,VAL,-0.6667,NOUN
angst,VAL,-0.8667,NOUN
anheizen,VAL,0.1667,VERB
anker,VAL,0.3333,NOUN
anklage,VAL,-0.5,NOUN
anklagen,VAL,-0.4333,VERB
anklang,VAL,0.4667,NOUN
anlegen,VAL,0.0686,VERB
anleihe,VAL,-0.2843,NOUN
anlocken,VAL,0.1333,VERB
anmut,VAL,0.6,NOUN
anmutig,VAL,0.6333,ADJ
annahme,VAL,0.0784,NOUN
annehmen,VAL,0.2451,VERB
anomal,VAL,-0.5,ADJ
anomalie,VAL,-0.5,NOUN
anonym,VAL,-0.1333,ADJ
anormal,VAL,-0.4667,ADJ
anpumpen,VAL,-0.3667,VERB
anregung,VAL,0.4333,NOUN
anreiz,VAL,0.4333,NOUN
anruf,VAL,0.45,NOUN
anrufen,VAL,0.402,VERB
ansporn,VAL,0.5,NOUN
ansprechen,VAL,0.2843,VERB
anstehen,VAL,-0.3,VERB
anteil,VAL,0.1,NOUN
antrag,VAL,0.1,NOUN
antwort,VAL,0.3137,NOUN
antworten,VAL,0.3235,VERB
anwalt,VAL,-0.0667,NOUN
anwidern,VAL,-0.6667,VERB
anzahl,VAL,0.0667,NOUN
apathie,VAL,-0.5333,NOUN
apfel,VAL,0.4,NOUN
appetit,VAL,0.3667,NOUN
applaus,VAL,0.6,NOUN
aquarium,VAL,0.1967,NOUN
arbeit,VAL,0.0167,NOUN
arbeiten,VAL,-0.0196,VERB
arbeiter,VAL,-0.0784,NOUN
archiv,VAL,0.15,NOUN
arg,VAL,-0.4,ADJ
ärger,VAL,-0.6333,NOUN
ärgernis,VAL,-0.6333,NOUN
argwohn,VAL,-0.4333,NOUN
armee,VAL,-0.7,NOUN
armut,VAL,-0.65,NOUN
aroma,VAL,0.4667,NOUN
arrest,VAL,-0.6667,NOUN
arroganz,VAL,-0.6333,NOUN
arsch,VAL,-0.3667,NOUN
arsen,VAL,-0.6667,NOUN
arsenal,VAL,-0.3,NOUN
arzt,VAL,0.0294,NOUN
asche,VAL,-0.3333,NOUN
aschfahl,VAL,-0.6333,ADJ
aschgrau,VAL,-0.4667,ADJ
askese,VAL,-0.1333,NOUN
asket,VAL,-0.2333,NOUN
asozial,VAL,-0.8,ADJ
asyl,VAL,-0.1,NOUN
atemnot,VAL,-0.7333,NOUN
atlas,VAL,0.3167,NOUN
atmung,VAL,0.6333,NOUN
atombombe,VAL,-0.9314,NOUN
attentat,VAL,-0.8,NOUN
aufatmen,VAL,0.5,VERB
aufbau,VAL,0.1833,NOUN
aufbauen,VAL,0.3333,VERB
aufbruch,VAL,0.3,NOUN
aufenthalt,VAL,0.2549,NOUN
auffordern,VAL,-0.0392,VERB
aufgabe,VAL,0.1373,NOUN
aufgeben,VAL,-0.4902,VERB
aufhalten,VAL,-0.1373,VERB
aufhören,VAL,-0.1863,VERB
aufleben,VAL,0.6,VERB
aufnahme,VAL,0.2255,NOUN
aufnehmen,VAL,0.3431,VERB
aufpreis,VAL,-0.4667,NOUN
aufsatz,VAL,0.0333,NOUN
aufseher,VAL,-0.3,NOUN
aufstand,VAL,-0.4,NOUN
aufstieg,VAL,0.6,NOUN
auftrag,VAL,0.2333,NOUN
auftreten,VAL,0.0098,VERB
