wordStem,wordFunction,value,pos
abbau,VAL,-0.058,NOUN
abbruch,VAL,-0.0048,NOUN
abdankung,VAL,-0.0048,NOUN
abdämpfung,VAL,-0.0048,NOUN
abfall,VAL,-0.0048,NOUN
abfuhr,VAL,-0.3367,NOUN
abgrund,VAL,-0.3465,NOUN
abhängigkeit,VAL,-0.3653,NOUN
ablehnung,VAL,-0.5118,NOUN
ablenkung,VAL,-0.0435,NOUN
abnahme,VAL,-0.0048,NOUN
abneigung,VAL,-0.0048,NOUN
abnutzung,VAL,-0.0048,NOUN
abriss,VAL,-0.0048,NOUN
abrutsch,VAL,-0.0048,NOUN
abschaffung,VAL,-0.058,NOUN
abschreckung,VAL,-0.0048,NOUN
abschreibung,VAL,-0.3345,NOUN
abschuß,VAL,-0.0048,NOUN
abschuss,VAL,-0.0048,NOUN
abschwächung,VAL,-0.1935,NOUN
absenkung,VAL,-0.3434,NOUN
abspaltung,VAL,-0.0048,NOUN
absperrung,VAL,-0.0048,NOUN
abstieg,VAL,-0.3215,NOUN
abstoß,VAL,-0.0048,NOUN
abstrich,VAL,-0.3201,NOUN
abstumpfung,VAL,-0.0048,NOUN
absturz,VAL,-0.4739,NOUN
absurdität,VAL,-0.0048,NOUN
abweichung,VAL,-0.3462,NOUN
abweisung,VAL,-0.0048,NOUN
abwertung,VAL,-0.3283,NOUN
abwärtstrend,VAL,-0.1941,NOUN
abzocke,VAL,-0.0048,NOUN
achtlosigkeit,VAL,-0.0048,NOUN
affäre,VAL,-0.1794,NOUN
aggression,VAL,-0.4889,NOUN
aggressivität,VAL,-0.1958,NOUN
aggressor,VAL,-0.3155,NOUN
agitation,VAL,-0.0048,NOUN
alarm,VAL,-0.0048,NOUN
alptraum,VAL,-0.0048,NOUN
albtraum,VAL,-0.0048,NOUN
amateur,VAL,-0.0048,NOUN
ambivalenz,VAL,-0.3266,NOUN
androhung,VAL,-0.0048,NOUN
anfälligkeit,VAL,-0.0048,NOUN
angreifer,VAL,-0.0048,NOUN
angriff,VAL,-0.212,NOUN
angst,VAL,-0.514,NOUN
anklage,VAL,-0.3468,NOUN
anmaßung,VAL,-0.0048,NOUN
annullierung,VAL,-0.0048,NOUN
anomalie,VAL,-0.0048,NOUN
anspannung,VAL,-0.0048,NOUN
anstrengung,VAL,-0.0048,NOUN
antipathie,VAL,-0.0048,NOUN
arbeitslose,VAL,-0.3549,NOUN
arbeitslosigkeit,VAL,-0.3654,NOUN
armut,VAL,-0.2038,NOUN
arroganz,VAL,-0.3289,NOUN
arschloch,VAL,-0.1901,NOUN
attacke,VAL,-0.47,NOUN
aufhebung,VAL,-0.0048,NOUN
auflösung,VAL,-0.0048,NOUN
aufregung,VAL,-0.0386,NOUN
aufruhr,VAL,-0.0048,NOUN
aufschrei,VAL,-0.0048,NOUN
aufstand,VAL,-0.0048,NOUN
ausbeute,VAL,-0.1894,NOUN
ausbeuter,VAL,-0.0048,NOUN
ausbeutung,VAL,-0.0048,NOUN
ausbruch,VAL,-0.0048,NOUN
auseinandersetzung,VAL,-0.0603,NOUN
ausfall,VAL,-0.2164,NOUN
ausgrenzung,VAL,-0.626,NOUN
auslöschung,VAL,-0.0048,NOUN
ausrottung,VAL,-0.0048,NOUN
ausschließung,VAL,-0.0048,NOUN
aussetzung,VAL,-0.0048,NOUN
banalität,VAL,-0.0048,NOUN
bankrott,VAL,-0.0048,NOUN
barriere,VAL,-0.0048,NOUN
bedeutungslosigkeit,VAL,-0.0048,NOUN
bedrohung,VAL,-0.0048,NOUN
bedrängung,VAL,-0.0048,NOUN
bedrückung,VAL,-0.0435,NOUN
bedürftige,VAL,-0.0048,NOUN
beeinträchtigung,VAL,-0.3472,NOUN
befall,VAL,-0.0048,NOUN
befangenheit,VAL,-0.0048,NOUN
befürchtung,VAL,-0.4903,NOUN
begrenzung,VAL,-0.0048,NOUN
behinderung,VAL,-0.3578,NOUN
belastung,VAL,-0.3711,NOUN
beleidigung,VAL,-0.3432,NOUN
belästigung,VAL,-0.0048,NOUN
