wordStem,wordFunction,value,pos
abbauen,SHI,0,VERB
abbiegen,SHI,0,VERB
abdämmen,SHI,0,VERB
abfangen,SHI,0,VERB
abflauen,SHI,0,VERB
abgehen,SHI,0,VERB
abgewöhnen,SHI,0,VERB
abhauen,SHI,0,VERB
abkratzen,SHI,0,VERB
abkühlen,SHI,0,VERB
ablassen,SHI,0,VERB
ableugnen,SHI,0,VERB
abmachen,SHI,0,VERB
abnehmen,SHI,0,VERB
abnibbeln,SHI,0,VERB
abnippeln,SHI,0,VERB
abraten,SHI,0,VERB
abrücken,SHI,0,VERB
absacken,SHI,0,VERB
absagen,SHI,0,VERB
absaufen,SHI,0,VERB
abscheiden,SHI,0,VERB
abschotten,SHI,0,VERB
abschreiben,SHI,0,VERB
abschwächen,SHI,0,VERB
abschütteln,SHI,0,VERB
abspringen,SHI,0,VERB
absterben,SHI,0,VERB
abstreiten,SHI,0,VERB
abweisen,SHI,0,VERB
abwerfen,SHI,0,VERB
abwählen,SHI,0,VERB
ankämpfen,SHI,0,VERB
annullieren,SHI,0,VERB
auffangen,SHI,0,VERB
auffressen,SHI,0,VERB
ausblenden,SHI,0,VERB
ausklammern,SHI,0,VERB
ausmerzen,SHI,0,VERB
ausnehmen,SHI,0,VERB
ausreden,SHI,0,VERB
ausrotten,SHI,0,VERB
ausscheiden,SHI,0,VERB
ausschlagen,SHI,0,VERB
aussetzen,SHI,0,VERB
aussortieren,SHI,0,VERB
aussparen,SHI,0,VERB
ausspielen,SHI,0,VERB
befreien,SHI,0,VERB
beheben,SHI,0,VERB
behindern,SHI,0,VERB
beklauen,SHI,0,VERB
bewahren,SHI,0,VERB
bezwingen,SHI,0,VERB
bleibenlassen,SHI,0,VERB
blessieren,SHI,0,VERB
blocken,SHI,0,VERB
blockieren,SHI,0,VERB
canceln,SHI,0,VERB
dahinsiechen,SHI,0,VERB
davonscheuchen,SHI,0,VERB
davontreiben,SHI,0,VERB
demolieren,SHI,0,VERB
devitalisieren,SHI,0,VERB
divergieren,SHI,0,VERB
draufgehen,SHI,0,VERB
drosseln,SHI,0,VERB
drücken,SHI,0,VERB
dämmen,SHI,0,VERB
einschließen,SHI,0,VERB
einstürzen,SHI,0,VERB
eliminieren,SHI,0,VERB
enden,SHI,0,VERB
endigen,SHI,0,VERB
entbehren,SHI,0,VERB
entbinden,SHI,0,VERB
entgegentreten,SHI,0,VERB
entheben,SHI,0,VERB
entheiligen,SHI,0,VERB
entkommen,SHI,0,VERB
entlassen,SHI,0,VERB
entraten,SHI,0,VERB
entschlafen,SHI,0,VERB
entwachsen,SHI,0,VERB
erlöschen,SHI,0,VERB
