wordStem,wordClass,valence,arousal
abbau,NOUN,-0.058,0
abbruch,NOUN,-0.0048,0
abdankung,NOUN,-0.0048,0
abdämpfung,NOUN,-0.0048,0
abfall,NOUN,-0.0048,0
abfuhr,NOUN,-0.3367,0
abgrund,NOUN,-0.3465,0
abhängigkeit,NOUN,-0.3653,0
ablehnung,NOUN,-0.5118,0
ablenkung,NOUN,-0.0435,0
abnahme,NOUN,-0.0048,0
abneigung,NOUN,-0.0048,0
abnutzung,NOUN,-0.0048,0
abriss,NOUN,-0.0048,0
abrutsch,NOUN,-0.0048,0
abschaffung,NOUN,-0.058,0
abschreckung,NOUN,-0.0048,0
abschreibung,NOUN,-0.3345,0
abschuß,NOUN,-0.0048,0
abschuss,NOUN,-0.0048,0
abschwächung,NOUN,-0.1935,0
absenkung,NOUN,-0.3434,0
abspaltung,NOUN,-0.0048,0
absperrung,NOUN,-0.0048,0
abstieg,NOUN,-0.3215,0
abstoß,NOUN,-0.0048,0
abstrich,NOUN,-0.3201,0
abstumpfung,NOUN,-0.0048,0
absturz,NOUN,-0.4739,0
absurdität,NOUN,-0.0048,0
abweichung,NOUN,-0.3462,0
abweisung,NOUN,-0.0048,0
abwertung,NOUN,-0.3283,0
abwärtstrend,NOUN,-0.1941,0
abzocke,NOUN,-0.0048,0
achtlosigkeit,NOUN,-0.0048,0
affäre,NOUN,-0.1794,0
aggression,NOUN,-0.4889,0
aggressivität,NOUN,-0.1958,0
aggressor,NOUN,-0.3155,0
agitation,NOUN,-0.0048,0
alarm,NOUN,-0.0048,0
alptraum,NOUN,-0.0048,0
albtraum,NOUN,-0.0048,0
amateur,NOUN,-0.0048,0
ambivalenz,NOUN,-0.3266,0
androhung,NOUN,-0.0048,0
anfälligkeit,NOUN,-0.0048,0
angreifer,NOUN,-0.0048,0
angriff,NOUN,-0.212,0
angst,NOUN,-0.514,0
anklage,NOUN,-0.3468,0
anmaßung,NOUN,-0.0048,0
annullierung,NOUN,-0.0048,0
anomalie,NOUN,-0.0048,0
anspannung,NOUN,-0.0048,0
anstrengung,NOUN,-0.0048,0
antipathie,NOUN,-0.0048,0
