wordStem,wordFunction,value,pos
aufgeben,VAL,-0.4,VERB
verlässt,VAL,-0.4,VERB
entführen,VAL,-0.4,VERB
Entführung,VAL,-0.4,NOUN
verabscheuen,VAL,-0.6,VERB
Fähigkeit,VAL,0.4,NOUN
abwesend,VAL,-0.2,NOUN
entlassen,VAL,0.4,VERB
freisprechen,VAL,0.4,VERB
absolvieren,VAL,0.4,VERB
Absolviert,VAL,0.4,VERB
absorbieren,VAL,0.2,VERB
missbrauchen,VAL,-0.6,VERB
missbraucht,VAL,-0.6,VERB
akzeptieren,VAL,0.2,VERB
Unfall,VAL,-0.4,NOUN
versehentlich,VAL,-0.4,ADV
vollenden,VAL,0.4,VERB
vollbringen,VAL,0.4,VERB
Anschuldigung,VAL,-0.4,NOUN
anklagen,VAL,-0.4,NOUN
beschuldigen,VAL,-0.4,VERB
schmerzen,VAL,-0.4,NOUN
Erreichbar,VAL,0.2,ADV
erbittert,VAL,-0.6,ADV
aktiv,VAL,0.2,ADV
anmessen,VAL,0.2,ADV
bewundern,VAL,0.6,VERB
zugeben,VAL,-0.2,VERB
ermahnen,VAL,-0.4,VERB
adoptieren,VAL,0.2,VERB
adoptiert,VAL,0.2,VERB
anbetungswürdig,VAL,0.6,ADV
verehren,VAL,0.6,VERB
fortschreiten,VAL,0.2,VERB
Vorteil,VAL,0.4,NOUN
Abenteuer,VAL,0.4,NOUN
abenteuerlich,VAL,0.4,ADV
betreffen,VAL,-0.2,VERB
Zuneigung,VAL,0.6,NOUN
anhänglich,VAL,0.6,ADV
beleidigen,VAL,-0.2,VERB
beunruhigen,VAL,-0.2,VERB
ängstlich,VAL,-0.4,ADV
verschlimmern,VAL,-0.4,VERB
Aggression,VAL,-0.4,NOUN
aggressiv,VAL,-0.4,ADV
erschrecken,VAL,-0.4,VERB
agonisiert,VAL,-0.6,VERB
agonisieren,VAL,-0.6,VERB
quälen,VAL,-0.6,VERB
zustimmen,VAL,0.2,VERB
einverstanden,VAL,0.2,ADV
Zustimmung,VAL,0.2,NOUN
alarmieren,VAL,-0.4,VERB
Alarmist,VAL,-0.4,NOUN
Alarmisten,VAL,-0.4,NOUN
leider,VAL,-0.2,ADV
Entfremdung,VAL,-0.4,NOUN
lebendig,VAL,0.2,ADV
allergisch,VAL,-0.4,ADV
erlauben,VAL,0.2,VERB
allein,VAL,-0.4,ADV
verblüffen,VAL,0.4,VERB
erstaunen,VAL,0.4,ADV
erstaunlich,VAL,0.8,ADV
ehrgeizig,VAL,0.4,ADV
ambivalent,VAL,-0.2,ADV
amüsieren,VAL,0.6,VERB
Belustigung,VAL,0.6,NOUN
Vergnügung,VAL,0.6,NOUN
Wut,VAL,-0.6,NOUN
wüten,VAL,-0.6,ADV
Verärgerung,VAL,-0.6,NOUN
verärgern,VAL,-0.6,ADV
Feindseligkeit,VAL,-0.4,NOUN
ärgern,VAL,-0.4,VERB
antagonistisch,VAL,-0.4,ADV
anti,VAL,-0.2,NOUN
Vorfreude,VAL,0.2,NOUN
apathisch,VAL,-0.6,ADV
Apathie,VAL,-0.6,NOUN
apokalyptisch,VAL,-0.4,ADV
entschuldigen,VAL,-0.2,VERB
entsetzt,VAL,-0.4,ADV
beschwichtigen,VAL,0.4,VERB
besänftigen,VAL,0.4,VERB
applaudieren,VAL,0.4,VERB
schätzen,VAL,0.4,VERB
Wertschätzung,VAL,0.4,NOUN
genehmigen,VAL,0.4,VERB
befürworten,VAL,0.4,VERB
eifrig,VAL,0.2,ADV
verhaften,VAL,-0.4,VERB
arrogant,VAL,-0.4,ADV
schämen,VAL,-0.4,VERB
Arsch,VAL,-0.8,NOUN
Meuchelmord,VAL,-0.6,NOUN
Attentat,VAL,-0.6,NOUN
Vermögenswert,VAL,0.4,NOUN
Vermögenswerte,VAL,0.4,NOUN
Arschficken,VAL,-0.8,NOUN
Arschloch,VAL,-0.8,NOUN
angreifen,VAL,-0.2,VERB
anziehen,VAL,0.2,VERB
Anziehung,VAL,0.4,NOUN
locken,VAL,0.2,VERB
kühn,VAL,0.6,ADV
