wordStem,wordClass,valence,arousal
aal,N,-0.5,2.380952381
aas,N,-2.1,2.631578947
abart,N,-1.6,3.277777778
abbau,N,-1,3
abbauen,V,-0.8,2.105263158
abbild,N,-0.2,2.105263158
abbruch,N,-0.7,2.904761905
abdanken,V,-0.4,2.666666667
abdruck,N,-0.1,2.235294118
abend,N,1.65,1.833333333
abendrot,N,2.4,2
abends,A,1,2.052631579
abfahrt,N,0.3,3.117647059
abfall,N,-1.7,2.411764706
abflug,N,0.7,3.142857143
abfuhr,N,-1.35,3.55
abgang,N,-0.95,2.315789474
abgas,N,-2.05,2.882352941
abgeben,V,-0.029411765,2.19047619
abgrund,N,-1.4,3.882352941
abhang,N,-0.5,3.352941176
abhauen,V,-0.9,3.210526316
abhilfe,N,0.8,2.157894737
abitur,N,0.8,3.952380952
abkehr,N,-0.6,2.80952381
ablauf,N,0,2.105263158
ableger,N,0.1,2.222222222
ablehnen,V,-0.941176471,3.047619048
abmagern,V,-1.2,2.315789474
abort,N,-0.9,2.380952381
abreise,N,-0.3,3.294117647
absage,N,-2,3.368421053
absatz,N,-0.088235294,2.235294118
abscheu,N,-2.1,4.058823529
abschied,N,-2.1,3.238095238
abseits,A,-1.1,2.842105263
absender,N,0,2.117647059
absicht,N,0.6,2.578947368
abstand,N,-0.352941176,1.944444444
abstieg,N,-1.4,2.944444444
absturz,N,-2,4.095238095
absurd,A,-1,3.421052632
abt,N,0.2,1.526315789
abtei,N,0,1.842105263
abteil,N,-0.15,2.117647059
abwasser,N,-1.2,2.5
abweg,N,-0.95,2.523809524
abwehr,N,-0.7,3.19047619
abwurf,N,-0.3,2.941176471
abzug,N,-0.5,2.9375
achse,N,0,2.166666667
achsel,N,-0.45,2.375
achten,V,1.2,2.368421053
achtung,N,0.6,3.619047619
adel,N,-0.3,2.555555556
adeln,V,0.4,2.4
adjutant,N,-0.3,3.176470588
adler,N,1.25,2.444444444
adoption,N,0,2.888888889
adressat,N,0.1,2
adria,N,1.4,2.666666667
advent,N,1.05,1.736842105
affe,N,1,3
affekt,N,0,3.625
agent,N,0.45,2.944444444
aggression,N,-1.764705882,4.333333333
agil,A,1,2.315789474
ahnen,V,0.294117647,2.633333333
ahnung,N,0.7,3
ahorn,N,1.3,1.722222222
akademie,N,0.588235294,3.142857143
akribie,N,-0.7,2.421052632
aktie,N,0.6,2.157894737
aktion,N,1,2.944444444
aktiv,A,1.6,3.263157895
aktivität,N,1.705882353,3.315789474
akzent,N,0,3.210526316
alarm,N,-1.4,4.444444444
albern,A,-0.2,3.052631579
album,N,0.8,2.476190476
alkohol,N,-0.1,3.5
allee,N,1.2,1.333333333
allein,A,-1.8,2.45
alltag,N,-0.1,2.25
